time,open,high,low,close,volume
2020-09-22 00:00:00+00:00,0.85,7.0,0.85,5.3193,166715315.42381
2020-09-23 00:00:00+00:00,5.3279,5.36,3.4,3.535,53155220.869282
2020-09-24 00:00:00+00:00,3.5305,4.8873,3.4033,4.6411,28912533.318708
2020-09-25 00:00:00+00:00,4.6366,5.0234,4.2001,4.7134,17910676.096147
2020-09-26 00:00:00+00:00,4.7164,4.82,4.3294,4.52,8304263.783599
2020-09-27 00:00:00+00:00,4.5214,4.7134,4.1068,4.6484,6626177.405459
2020-09-28 00:00:00+00:00,4.6485,4.705,4.1667,4.2021,5281810.912446
2020-09-29 00:00:00+00:00,4.1999,4.2899,3.9607,4.1394,4361852.971104
2020-09-30 00:00:00+00:00,4.1429,4.411,3.9958,4.3293,3839122.432152
2020-10-01 00:00:00+00:00,4.3293,4.53,4.014,4.15,6232982.476506
2020-10-02 00:00:00+00:00,4.1422,4.2198,3.6332,3.9115,7189956.875417
2020-10-03 00:00:00+00:00,3.9156,4.19,3.8696,4.0168,2729615.964657
2020-10-04 00:00:00+00:00,4.0202,4.0798,3.8334,3.964,2483672.142012
2020-10-05 00:00:00+00:00,3.9582,4.0456,3.87,3.9813,1883990.190668
2020-10-06 00:00:00+00:00,3.9949,4.0,3.5,3.5424,3553458.059347
2020-10-07 00:00:00+00:00,3.5401,3.5462,3.207,3.442,3329160.072095
2020-10-08 00:00:00+00:00,3.4409,3.9599,3.3228,3.9147,3300534.466961
2020-10-09 00:00:00+00:00,3.9147,4.3252,3.8034,4.2491,2339370.568006
2020-10-10 00:00:00+00:00,4.2427,4.2693,4.0001,4.023,3382885.218935
2020-10-11 00:00:00+00:00,4.0205,4.1762,3.9333,4.096,2203938.047429
2020-10-12 00:00:00+00:00,4.0841,4.71,4.054,4.41,3741254.639136
2020-10-13 00:00:00+00:00,4.4099,4.5636,4.3203,4.4806,3461676.161877
2020-10-14 00:00:00+00:00,4.4808,4.4848,4.0125,4.1596,2172949.680797
2020-10-15 00:00:00+00:00,4.15,4.2312,3.9985,4.1269,1255397.298573
2020-10-16 00:00:00+00:00,4.1266,4.1582,3.8755,4.0433,2158279.790595
2020-10-17 00:00:00+00:00,4.0462,4.21,3.9673,4.1946,1059554.149781
2020-10-18 00:00:00+00:00,4.1874,4.2461,4.0701,4.1195,576945.333937
2020-10-19 00:00:00+00:00,4.1371,4.1748,3.9926,4.05,1117039.448789
2020-10-20 00:00:00+00:00,4.0568,4.0908,3.6925,3.804,2274226.081624
2020-10-21 00:00:00+00:00,3.8007,4.103,3.7918,3.9585,1268228.482366
2020-10-22 00:00:00+00:00,3.9574,4.4904,3.9511,4.3385,3221997.415673
2020-10-23 00:00:00+00:00,4.3406,4.4872,4.1354,4.2568,1398999.508028
2020-10-24 00:00:00+00:00,4.2539,4.362,4.14,4.1821,933338.630134
2020-10-25 00:00:00+00:00,4.1803,4.2526,4.1,4.1479,877035.365953
2020-10-26 00:00:00+00:00,4.1409,4.4897,4.0141,4.148,2796040.229951
2020-10-27 00:00:00+00:00,4.1454,4.35,4.0343,4.1217,1224513.041938
2020-10-28 00:00:00+00:00,4.1214,4.1792,3.9308,4.0596,1446616.723493
2020-10-29 00:00:00+00:00,4.0607,4.1051,3.7296,3.7758,1634343.735545
2020-10-30 00:00:00+00:00,3.7744,3.8226,3.5781,3.7224,3139921.291919
2020-10-31 00:00:00+00:00,3.7116,3.7612,3.5876,3.6456,1268757.589933
2020-11-01 00:00:00+00:00,3.6355,3.7142,3.5521,3.6814,1075668.74943
2020-11-02 00:00:00+00:00,3.6851,3.8775,3.6145,3.617,1196807.923252
2020-11-03 00:00:00+00:00,3.6174,3.6513,3.2368,3.323,2257175.605092
2020-11-04 00:00:00+00:00,3.3299,3.3759,3.0,3.1718,1474605.416323
2020-11-05 00:00:00+00:00,3.1736,3.3841,3.0211,3.3348,2097043.285141
2020-11-06 00:00:00+00:00,3.335,3.6666,3.3194,3.5913,3199980.724892
2020-11-07 00:00:00+00:00,3.594,3.9193,3.37,3.4126,3034525.372528
2020-11-08 00:00:00+00:00,3.4093,3.67,3.3613,3.4754,1902820.877792
2020-11-09 00:00:00+00:00,3.4674,3.5399,3.2619,3.4125,1828111.811395
2020-11-10 00:00:00+00:00,3.421,3.63,3.369,3.5713,1695101.155963
2020-11-11 00:00:00+00:00,3.5775,3.82,3.46,3.4842,1409573.371887
2020-11-12 00:00:00+00:00,3.4918,3.5691,3.32,3.4243,1075162.171426
2020-11-13 00:00:00+00:00,3.4268,3.7018,3.3911,3.6745,2067256.881649
2020-11-14 00:00:00+00:00,3.6779,3.7042,3.396,3.4894,1558296.058204
2020-11-15 00:00:00+00:00,3.484,3.6415,3.4101,3.5453,1550016.688202
2020-11-16 00:00:00+00:00,3.5348,3.82,3.455,3.7,2430446.327836
2020-11-17 00:00:00+00:00,3.7062,3.9333,3.6881,3.8355,1866137.895597
2020-11-18 00:00:00+00:00,3.8476,3.8739,3.55,3.7445,1983620.132666
2020-11-19 00:00:00+00:00,3.7498,3.8272,3.5563,3.6399,1423279.115023
2020-11-20 00:00:00+00:00,3.6432,4.0111,3.6224,3.715,2485341.377474
2020-11-21 00:00:00+00:00,3.7124,4.0983,3.67,4.0281,2180220.32288
2020-11-22 00:00:00+00:00,4.0291,4.0602,3.71,3.8892,2174569.093522
2020-11-23 00:00:00+00:00,3.9066,4.2575,3.8519,4.0747,2502647.908188
2020-11-24 00:00:00+00:00,4.0748,4.3334,3.865,4.26,3523674.519833
2020-11-25 00:00:00+00:00,4.26,4.3989,3.9001,4.0453,3224315.913486
2020-11-26 00:00:00+00:00,4.0363,4.089,3.28,3.5447,3583580.90367
2020-11-27 00:00:00+00:00,3.5399,3.7581,3.4178,3.5942,1370077.828289
2020-11-28 00:00:00+00:00,3.5903,3.6998,3.4752,3.6271,921787.753979
2020-11-29 00:00:00+00:00,3.6299,3.7662,3.531,3.7013,812005.098106
2020-11-30 00:00:00+00:00,3.7124,3.82,3.6418,3.7024,993718.709584
2020-12-01 00:00:00+00:00,3.7044,3.8128,3.4501,3.5543,1646953.635854
