time,open,high,low,close,volume
2020-01-17 00:00:00+00:00,2.669,2.896,2.592,2.696,22425934.89725
2020-01-18 00:00:00+00:00,2.696,2.799,2.56,2.774,21440910.5591
2020-01-19 00:00:00+00:00,2.777,2.854,2.519,2.623,25247536.95095
2020-01-20 00:00:00+00:00,2.623,2.745,2.544,2.695,19123342.09899
2020-01-21 00:00:00+00:00,2.694,2.745,2.561,2.673,15706662.17502
2020-01-22 00:00:00+00:00,2.675,2.694,2.626,2.654,8813676.45578
2020-01-23 00:00:00+00:00,2.656,2.659,2.43,2.471,13164039.29156
2020-01-24 00:00:00+00:00,2.47,2.542,2.35,2.504,9314780.46289
2020-01-25 00:00:00+00:00,2.506,2.515,2.436,2.448,4994751.19487
2020-01-26 00:00:00+00:00,2.449,2.582,2.429,2.575,4519267.92872
2020-01-27 00:00:00+00:00,2.579,2.683,2.561,2.608,10004663.89104
2020-01-28 00:00:00+00:00,2.61,2.678,2.588,2.656,8507284.78084
2020-01-29 00:00:00+00:00,2.659,2.839,2.644,2.781,13801884.94774
2020-01-30 00:00:00+00:00,2.781,2.95,2.706,2.914,19451691.89007
2020-01-31 00:00:00+00:00,2.917,2.929,2.762,2.825,11247269.86853
2020-02-01 00:00:00+00:00,2.83,2.888,2.737,2.841,8196149.8842
2020-02-02 00:00:00+00:00,2.84,2.894,2.737,2.832,10810858.43364
2020-02-03 00:00:00+00:00,2.832,2.884,2.747,2.782,10037299.89042
2020-02-04 00:00:00+00:00,2.78,2.806,2.676,2.741,13644207.64028
2020-02-05 00:00:00+00:00,2.743,2.891,2.732,2.843,18900536.46915
2020-02-06 00:00:00+00:00,2.843,2.97,2.794,2.902,19712674.37223
2020-02-07 00:00:00+00:00,2.902,3.365,2.9,3.311,68850706.69227
2020-02-08 00:00:00+00:00,3.31,3.48,3.11,3.42,46362591.52324
2020-02-09 00:00:00+00:00,3.419,3.525,3.232,3.504,35813340.69914
2020-02-10 00:00:00+00:00,3.503,3.511,3.272,3.388,43418524.12255
2020-02-11 00:00:00+00:00,3.389,3.999,3.353,3.989,74548717.47831
2020-02-12 00:00:00+00:00,3.992,4.2,3.861,3.988,86826634.52592
2020-02-13 00:00:00+00:00,3.996,4.141,3.669,3.878,60731868.18432
2020-02-14 00:00:00+00:00,3.877,4.494,3.797,4.43,68503920.94191
2020-02-15 00:00:00+00:00,4.434,4.632,4.05,4.328,110588683.66441
2020-02-16 00:00:00+00:00,4.327,4.884,4.0,4.454,163125205.46949
2020-02-17 00:00:00+00:00,4.45,4.567,3.854,4.302,123703898.05274
2020-02-18 00:00:00+00:00,4.308,4.656,4.139,4.564,98623863.46759
2020-02-19 00:00:00+00:00,4.56,4.869,4.172,4.386,106394232.85321
2020-02-20 00:00:00+00:00,4.386,4.481,4.066,4.267,76620260.75259
2020-02-21 00:00:00+00:00,4.268,4.51,4.18,4.275,62753120.25094
2020-02-22 00:00:00+00:00,4.276,4.348,4.052,4.105,55927552.89178
2020-02-23 00:00:00+00:00,4.105,4.378,4.072,4.236,53348404.71812
2020-02-24 00:00:00+00:00,4.239,4.295,3.801,3.923,70972065.43254
2020-02-25 00:00:00+00:00,3.923,3.964,3.478,3.491,80529163.54203
2020-02-26 00:00:00+00:00,3.49,3.85,3.312,3.564,120328941.26179
2020-02-27 00:00:00+00:00,3.564,4.116,3.41,3.956,110000390.49091
2020-02-28 00:00:00+00:00,3.956,4.246,3.736,4.161,117100937.67557
2020-02-29 00:00:00+00:00,4.161,4.347,4.052,4.062,104867244.03232
2020-03-01 00:00:00+00:00,4.056,4.24,3.756,3.858,110010817.57406
2020-03-02 00:00:00+00:00,3.862,4.327,3.816,4.242,104164011.44294
2020-03-03 00:00:00+00:00,4.242,4.68,4.131,4.591,138112155.38221
2020-03-04 00:00:00+00:00,4.591,4.953,4.535,4.635,197884503.97712
2020-03-05 00:00:00+00:00,4.634,4.9,4.617,4.707,129411630.56484
2020-03-06 00:00:00+00:00,4.71,4.748,4.538,4.683,105646272.83346
2020-03-07 00:00:00+00:00,4.683,4.688,4.31,4.342,108044913.49841
2020-03-08 00:00:00+00:00,4.342,4.398,3.834,4.059,203716934.70302
2020-03-09 00:00:00+00:00,4.059,4.371,3.6,4.12,250653883.92342
2020-03-10 00:00:00+00:00,4.12,4.2,3.913,4.08,148060112.80248
2020-03-11 00:00:00+00:00,4.079,4.109,3.55,3.815,137670747.46881
2020-03-12 00:00:00+00:00,3.811,3.85,1.75,1.993,269038119.80196
2020-03-13 00:00:00+00:00,1.99,2.747,1.364,2.426,161706740.97746
2020-03-14 00:00:00+00:00,2.427,2.514,2.051,2.129,74404440.67226
2020-03-15 00:00:00+00:00,2.128,2.401,2.005,2.086,62753612.41331
2020-03-16 00:00:00+00:00,2.086,2.086,1.53,1.785,110470370.87871
2020-03-17 00:00:00+00:00,1.783,2.071,1.728,1.861,75848449.39755
2020-03-18 00:00:00+00:00,1.861,1.96,1.756,1.948,54137374.23126
2020-03-19 00:00:00+00:00,1.949,2.385,1.885,2.241,82991687.7443
2020-03-20 00:00:00+00:00,2.241,2.629,2.01,2.26,110630675.87468
2020-03-21 00:00:00+00:00,2.26,2.376,2.1,2.28,46927659.91466
2020-03-22 00:00:00+00:00,2.281,2.33,1.925,1.981,43437832.28414
2020-03-23 00:00:00+00:00,1.984,2.283,1.926,2.245,52055068.71133
2020-03-24 00:00:00+00:00,2.246,2.373,2.19,2.311,44620540.13637
2020-03-25 00:00:00+00:00,2.31,2.352,2.179,2.254,31912227.23233
2020-03-26 00:00:00+00:00,2.256,2.313,2.202,2.313,19130952.11648
2020-03-27 00:00:00+00:00,2.311,2.362,2.1,2.131,19097250.04196
2020-03-28 00:00:00+00:00,2.131,2.151,2.038,2.131,29193531.98774
2020-03-29 00:00:00+00:00,2.13,2.147,2.002,2.006,18668375.25736
2020-03-30 00:00:00+00:00,2.006,2.197,2.002,2.134,23941001.56957
2020-03-31 00:00:00+00:00,2.133,2.3,2.108,2.259,22258665.75565
2020-04-01 00:00:00+00:00,2.261,2.31,2.142,2.276,41104981.15876
2020-04-02 00:00:00+00:00,2.276,2.456,2.256,2.294,44676215.57723
2020-04-03 00:00:00+00:00,2.293,2.384,2.267,2.301,22519226.89467
2020-04-04 00:00:00+00:00,2.3,2.342,2.253,2.315,18104749.96016
2020-04-05 00:00:00+00:00,2.316,2.323,2.242,2.264,11315481.38903
2020-04-06 00:00:00+00:00,2.264,2.564,2.264,2.55,33384199.09563
2020-04-07 00:00:00+00:00,2.55,2.911,2.547,2.729,118209706.92561
2020-04-08 00:00:00+00:00,2.73,3.27,2.709,3.171,125996012.65421
2020-04-09 00:00:00+00:00,3.17,3.48,3.122,3.313,203096671.43023
2020-04-10 00:00:00+00:00,3.312,3.324,2.941,3.22,219723067.52029
2020-04-11 00:00:00+00:00,3.218,3.434,3.06,3.286,209906886.22846
2020-04-12 00:00:00+00:00,3.286,3.638,3.165,3.414,231011009.85371
2020-04-13 00:00:00+00:00,3.411,3.459,3.185,3.365,196536608.91303
2020-04-14 00:00:00+00:00,3.366,3.443,3.201,3.249,121486061.7291
2020-04-15 00:00:00+00:00,3.248,3.3,3.1,3.119,125295262.57298
2020-04-16 00:00:00+00:00,3.12,3.58,2.96,3.486,156815538.99696
2020-04-17 00:00:00+00:00,3.487,3.535,3.38,3.454,78999474.0424
2020-04-18 00:00:00+00:00,3.453,3.837,3.443,3.782,119041230.52793
2020-04-19 00:00:00+00:00,3.782,3.809,3.512,3.588,126331632.08738
2020-04-20 00:00:00+00:00,3.588,3.795,3.368,3.431,174031829.97055
2020-04-21 00:00:00+00:00,3.431,3.57,3.379,3.457,116276887.00661
2020-04-22 00:00:00+00:00,3.457,3.688,3.429,3.676,97841678.84038
2020-04-23 00:00:00+00:00,3.676,3.937,3.594,3.761,115856737.18221
2020-04-24 00:00:00+00:00,3.762,3.895,3.74,3.78,75389873.61881
2020-04-25 00:00:00+00:00,3.78,3.913,3.747,3.79,60514411.1579
2020-04-26 00:00:00+00:00,3.79,3.819,3.617,3.723,82925842.75833
2020-04-27 00:00:00+00:00,3.723,3.743,3.461,3.636,97046036.68841
2020-04-28 00:00:00+00:00,3.637,3.74,3.557,3.648,69914137.50324
2020-04-29 00:00:00+00:00,3.646,4.019,3.633,3.895,137079782.90115
2020-04-30 00:00:00+00:00,3.896,3.987,3.628,3.709,119800151.78799
2020-05-01 00:00:00+00:00,3.708,3.921,3.705,3.764,71487384.60866
2020-05-02 00:00:00+00:00,3.764,3.872,3.731,3.819,44624097.36277
2020-05-03 00:00:00+00:00,3.818,3.874,3.639,3.716,44228207.04054
2020-05-04 00:00:00+00:00,3.715,3.834,3.506,3.753,89039535.68409
2020-05-05 00:00:00+00:00,3.753,3.827,3.658,3.685,46620199.33893
2020-05-06 00:00:00+00:00,3.685,3.769,3.572,3.595,44765292.22317
2020-05-07 00:00:00+00:00,3.595,3.858,3.566,3.764,67661226.20592
2020-05-08 00:00:00+00:00,3.765,3.864,3.693,3.801,57400344.01135
2020-05-09 00:00:00+00:00,3.803,4.225,3.766,4.023,142860630.02816
2020-05-10 00:00:00+00:00,4.022,4.029,3.409,3.761,127252411.26424
2020-05-11 00:00:00+00:00,3.762,3.838,3.288,3.587,80850797.67073
2020-05-12 00:00:00+00:00,3.588,3.799,3.544,3.698,54356733.64243
2020-05-13 00:00:00+00:00,3.698,3.822,3.633,3.768,38468569.5577
2020-05-14 00:00:00+00:00,3.768,3.865,3.695,3.81,44383202.73351
2020-05-15 00:00:00+00:00,3.811,3.837,3.62,3.665,32041463.53968
2020-05-16 00:00:00+00:00,3.664,3.79,3.62,3.763,24678924.01013
2020-05-17 00:00:00+00:00,3.763,3.855,3.755,3.783,24602494.63955
2020-05-18 00:00:00+00:00,3.781,3.957,3.78,3.891,39808362.9296
2020-05-19 00:00:00+00:00,3.891,3.954,3.777,3.947,32292062.42758
2020-05-20 00:00:00+00:00,3.946,4.14,3.894,4.086,83911205.24502
2020-05-21 00:00:00+00:00,4.086,4.175,3.74,3.831,93506611.54875
2020-05-22 00:00:00+00:00,3.83,4.146,3.8,4.061,65851414.55893
2020-05-23 00:00:00+00:00,4.061,4.107,3.91,3.929,48904470.37095
2020-05-24 00:00:00+00:00,3.929,4.03,3.786,3.79,51250185.75174
2020-05-25 00:00:00+00:00,3.794,3.909,3.77,3.865,31064759.7424
2020-05-26 00:00:00+00:00,3.867,3.886,3.772,3.846,27559726.39367
2020-05-27 00:00:00+00:00,3.847,3.917,3.807,3.857,25264255.62913
2020-05-28 00:00:00+00:00,3.856,4.063,3.83,4.044,29598394.59962
2020-05-29 00:00:00+00:00,4.045,4.132,3.951,3.981,37453291.66715
2020-05-30 00:00:00+00:00,3.981,4.187,3.943,4.183,36127136.2411
2020-05-31 00:00:00+00:00,4.183,4.289,4.041,4.133,53477362.85502
2020-06-01 00:00:00+00:00,4.132,4.484,4.123,4.393,88206637.29526
2020-06-02 00:00:00+00:00,4.392,4.625,4.1,4.4,83871389.2894
2020-06-03 00:00:00+00:00,4.4,4.536,4.289,4.494,43273755.62724
2020-06-04 00:00:00+00:00,4.492,4.513,4.287,4.434,45429150.7271
2020-06-05 00:00:00+00:00,4.43,4.49,4.343,4.363,30163077.6176
2020-06-06 00:00:00+00:00,4.362,4.4,4.308,4.355,16464056.24041
