time,open,high,low,close,volume
2019-09-01 00:00:00+00:00,1.7788,1.8,1.717,1.7686,2343808.993756
2019-09-02 00:00:00+00:00,1.7696,1.89,1.7272,1.8287,5527140.173787
2019-09-03 00:00:00+00:00,1.8307,1.9424,1.8147,1.849,5997210.327933
2019-09-04 00:00:00+00:00,1.8486,1.87,1.7167,1.7784,6383418.411104
2019-09-05 00:00:00+00:00,1.7793,1.8624,1.768,1.7921,4979721.839578
2019-09-06 00:00:00+00:00,1.7919,1.86,1.6767,1.7226,5630495.566505
2019-09-07 00:00:00+00:00,1.7222,1.806,1.7085,1.7672,4219207.724271
2019-09-08 00:00:00+00:00,1.7672,1.9054,1.761,1.8275,6430515.622676
2019-09-09 00:00:00+00:00,1.829,1.8731,1.761,1.7872,6323682.303087
2019-09-10 00:00:00+00:00,1.7883,1.8326,1.773,1.7998,4891387.975576
2019-09-11 00:00:00+00:00,1.7988,1.8258,1.7136,1.7301,3918515.822395
2019-09-12 00:00:00+00:00,1.7301,1.7458,1.6918,1.7073,3823973.622408
2019-09-13 00:00:00+00:00,1.7073,1.7099,1.51,1.5759,10598044.802062
2019-09-14 00:00:00+00:00,1.5761,1.6375,1.5239,1.5634,9072573.988018
2019-09-15 00:00:00+00:00,1.5634,1.6458,1.56,1.6104,6482781.439093
2019-09-16 00:00:00+00:00,1.611,1.6355,1.545,1.5806,5624544.163061
2019-09-17 00:00:00+00:00,1.5806,1.6765,1.5532,1.624,8714835.385778
2019-09-18 00:00:00+00:00,1.624,1.8462,1.624,1.801,14349788.105683
2019-09-19 00:00:00+00:00,1.7994,1.9075,1.7079,1.8744,15710104.15257
2019-09-20 00:00:00+00:00,1.8743,1.8772,1.751,1.8245,6350663.860901
2019-09-21 00:00:00+00:00,1.8215,1.8888,1.7881,1.8855,5105903.211972
2019-09-22 00:00:00+00:00,1.8848,1.8868,1.7711,1.8157,4207056.964399
2019-09-23 00:00:00+00:00,1.8149,1.88,1.7799,1.8048,4898382.212044
2019-09-24 00:00:00+00:00,1.8034,2.0657,1.4612,1.716,30520015.62132
2019-09-25 00:00:00+00:00,1.7135,1.9286,1.6249,1.7443,15541919.879327
2019-09-26 00:00:00+00:00,1.7476,1.7584,1.5276,1.6512,11469705.438744
2019-09-27 00:00:00+00:00,1.6512,1.6786,1.5573,1.659,6997435.262801
2019-09-28 00:00:00+00:00,1.6593,1.7017,1.6284,1.6742,3966341.324873
2019-09-29 00:00:00+00:00,1.6748,1.7492,1.6441,1.7002,5630013.418347
2019-09-30 00:00:00+00:00,1.7004,1.769,1.6404,1.7677,6091950.81525
2019-10-01 00:00:00+00:00,1.7677,1.882,1.7522,1.8286,7423999.322832
2019-10-02 00:00:00+00:00,1.8285,2.0233,1.8121,2.011,11112247.031841
2019-10-03 00:00:00+00:00,2.0134,2.0338,1.88,1.9442,13738006.095326
2019-10-04 00:00:00+00:00,1.9443,1.9949,1.888,1.9663,6616268.435621
2019-10-05 00:00:00+00:00,1.9663,1.9775,1.9113,1.9624,4352706.761247
2019-10-06 00:00:00+00:00,1.9624,2.2659,1.9531,2.1669,20769400.456857
2019-10-07 00:00:00+00:00,2.1669,2.4899,2.0971,2.3963,29801791.519983
2019-10-08 00:00:00+00:00,2.3963,2.65,2.268,2.5765,39941066.734364
2019-10-09 00:00:00+00:00,2.577,2.95,2.501,2.8011,59920511.493088
2019-10-10 00:00:00+00:00,2.7977,2.8058,2.465,2.6279,40234731.695434
2019-10-11 00:00:00+00:00,2.6293,2.7936,2.5619,2.7481,30788011.386101
2019-10-12 00:00:00+00:00,2.7443,2.7572,2.5519,2.5975,16335299.928878
2019-10-13 00:00:00+00:00,2.5975,2.6443,2.4351,2.486,14028108.107929
2019-10-14 00:00:00+00:00,2.485,2.6741,2.4527,2.5324,14946710.649806
2019-10-15 00:00:00+00:00,2.5315,2.597,2.332,2.3974,15365785.895973
2019-10-16 00:00:00+00:00,2.3949,2.4143,2.182,2.3717,27206709.268527
2019-10-17 00:00:00+00:00,2.3736,2.49,2.274,2.4124,25329634.625496
2019-10-18 00:00:00+00:00,2.419,2.4999,2.3164,2.3546,17402268.009348
2019-10-19 00:00:00+00:00,2.3521,2.391,2.2914,2.3521,10576298.587082
2019-10-20 00:00:00+00:00,2.3513,2.451,2.278,2.4444,10590364.059115
2019-10-21 00:00:00+00:00,2.4443,2.69,2.4347,2.6223,29229981.871716
2019-10-22 00:00:00+00:00,2.6216,2.8178,2.5619,2.6074,30378844.911824
2019-10-23 00:00:00+00:00,2.6073,2.684,2.3717,2.6055,35925377.402288
2019-10-24 00:00:00+00:00,2.6071,2.7748,2.602,2.72,26208747.16147
2019-10-25 00:00:00+00:00,2.7201,3.0063,2.6165,2.8374,39183456.515066
2019-10-26 00:00:00+00:00,2.8374,2.9977,2.664,2.7348,37577155.6897
2019-10-27 00:00:00+00:00,2.7323,2.762,2.6511,2.6646,16107491.701176
2019-10-28 00:00:00+00:00,2.6707,2.8859,2.66,2.6611,21718242.279411
2019-10-29 00:00:00+00:00,2.6601,2.769,2.6321,2.662,9594968.284065
2019-10-30 00:00:00+00:00,2.661,2.6768,2.5107,2.6093,10291062.33242
2019-10-31 00:00:00+00:00,2.6044,2.7573,2.5365,2.7219,10990946.465983
2019-11-01 00:00:00+00:00,2.7233,2.7952,2.6428,2.7091,10249112.158616
2019-11-02 00:00:00+00:00,2.7092,2.7399,2.6828,2.6973,5268003.218848
2019-11-03 00:00:00+00:00,2.7015,2.7104,2.6202,2.6605,4469114.694315
2019-11-04 00:00:00+00:00,2.6594,2.73,2.6267,2.6746,6212035.895785
2019-11-05 00:00:00+00:00,2.6746,2.6947,2.6322,2.6746,5293153.906611
2019-11-06 00:00:00+00:00,2.6743,2.82,2.6479,2.7448,8633537.38242
2019-11-07 00:00:00+00:00,2.7446,2.7549,2.6022,2.6757,9378925.726752
2019-11-08 00:00:00+00:00,2.6758,2.7333,2.621,2.71,7872219.383253
2019-11-09 00:00:00+00:00,2.7091,2.8497,2.7031,2.8009,12964192.96665
2019-11-10 00:00:00+00:00,2.8008,2.837,2.7362,2.777,7305469.524705
2019-11-11 00:00:00+00:00,2.7773,2.7777,2.6655,2.744,5828171.1037
2019-11-12 00:00:00+00:00,2.7438,2.8733,2.7311,2.8152,9014693.33417
2019-11-13 00:00:00+00:00,2.8177,3.0894,2.7851,3.02,19407023.301341
2019-11-14 00:00:00+00:00,3.0189,3.16,2.9666,3.039,20357505.651534
2019-11-15 00:00:00+00:00,3.037,3.07,2.797,3.0389,16687015.248947
2019-11-16 00:00:00+00:00,3.0372,3.0435,2.9115,2.9894,5875410.748617
2019-11-17 00:00:00+00:00,2.9893,2.9894,2.8644,2.91,4777241.256149
2019-11-18 00:00:00+00:00,2.91,2.961,2.6977,2.7885,9896687.156992
2019-11-19 00:00:00+00:00,2.7886,2.8069,2.58,2.7255,12210133.545297
2019-11-20 00:00:00+00:00,2.7279,2.7957,2.63,2.6982,9788974.060772
2019-11-21 00:00:00+00:00,2.6983,2.7153,2.471,2.5456,11822351.34076
2019-11-22 00:00:00+00:00,2.5456,2.5952,2.1,2.3466,25155731.535202
2019-11-23 00:00:00+00:00,2.3434,2.4621,2.2604,2.4266,11394019.118919
2019-11-24 00:00:00+00:00,2.4272,2.4533,2.2,2.2216,10364009.312878
2019-11-25 00:00:00+00:00,2.2218,2.3976,2.02,2.2523,18067328.574598
2019-11-26 00:00:00+00:00,2.2554,2.3578,2.1459,2.2424,16895075.120843
2019-11-27 00:00:00+00:00,2.2437,2.2882,2.1002,2.2242,17482571.172316
2019-11-28 00:00:00+00:00,2.2216,2.3248,2.1711,2.2702,10686163.320838
2019-11-29 00:00:00+00:00,2.2716,2.3763,2.2611,2.3403,9593827.726752
2019-11-30 00:00:00+00:00,2.3403,2.3437,2.1943,2.2373,6609497.051741
2019-12-01 00:00:00+00:00,2.236,2.2385,2.1274,2.1638,7624553.065352
2019-12-02 00:00:00+00:00,2.1634,2.166,2.0524,2.0911,7690564.314598
2019-12-03 00:00:00+00:00,2.0913,2.1891,2.058,2.1222,8035197.925475
2019-12-04 00:00:00+00:00,2.1222,2.17,2.0,2.029,13621672.234095
2019-12-05 00:00:00+00:00,2.0282,2.074,1.9583,2.0068,10777462.949475
2019-12-06 00:00:00+00:00,2.0059,2.1042,1.9685,2.0943,7884108.644559
2019-12-07 00:00:00+00:00,2.0918,2.1114,2.0346,2.044,4979102.437878
2019-12-08 00:00:00+00:00,2.0402,2.085,2.0012,2.0528,4133361.364856
2019-12-09 00:00:00+00:00,2.052,2.0985,2.0151,2.0984,5692654.630081
2019-12-10 00:00:00+00:00,2.0983,2.2862,2.0611,2.2657,23756741.183967
2019-12-11 00:00:00+00:00,2.2655,2.3042,2.147,2.1786,10700085.694165
2019-12-12 00:00:00+00:00,2.1784,2.1951,2.0197,2.1056,10011804.878543
2019-12-13 00:00:00+00:00,2.1037,2.121,2.0575,2.0709,4103172.485886
2019-12-14 00:00:00+00:00,2.0713,2.0933,1.97,1.9946,3558852.032907
2019-12-15 00:00:00+00:00,1.9947,2.1168,1.9606,2.0708,5298548.406837
2019-12-16 00:00:00+00:00,2.0722,2.0873,1.967,1.9751,5163335.703938
2019-12-17 00:00:00+00:00,1.9705,2.0025,1.7,1.7598,13404189.603779
2019-12-18 00:00:00+00:00,1.7594,1.8995,1.5996,1.8703,15257212.512118
2019-12-19 00:00:00+00:00,1.8703,1.8901,1.749,1.805,9133713.965819
2019-12-20 00:00:00+00:00,1.805,1.9238,1.7849,1.9182,6091824.338371
2019-12-21 00:00:00+00:00,1.9182,1.9204,1.8544,1.8575,4254205.469336
2019-12-22 00:00:00+00:00,1.8563,1.94,1.853,1.9181,5644600.76416
2019-12-23 00:00:00+00:00,1.9167,1.9532,1.846,1.8629,5427329.28527
2019-12-24 00:00:00+00:00,1.8638,1.8854,1.8154,1.8435,4213545.308207
2019-12-25 00:00:00+00:00,1.8434,1.8462,1.76,1.7826,2850096.336449
2019-12-26 00:00:00+00:00,1.7836,1.9604,1.7702,1.8539,4968900.806642
2019-12-27 00:00:00+00:00,1.8538,1.9299,1.8435,1.8751,4554211.728957
2019-12-28 00:00:00+00:00,1.8777,1.8994,1.8555,1.8746,2384012.458777
2019-12-29 00:00:00+00:00,1.8716,1.92,1.8444,1.8976,2639603.916525
2019-12-30 00:00:00+00:00,1.898,1.898,1.8072,1.8243,2036388.793954
2019-12-31 00:00:00+00:00,1.8215,1.8292,1.754,1.7673,2932500.922639
2020-01-01 00:00:00+00:00,1.7678,1.8548,1.7606,1.8111,2106254.74259
2020-01-02 00:00:00+00:00,1.8109,1.8164,1.7065,1.7366,2504308.00848
2020-01-03 00:00:00+00:00,1.7366,1.8292,1.7013,1.804,3187182.290008
2020-01-04 00:00:00+00:00,1.803,1.8446,1.784,1.8242,2252857.636543
2020-01-05 00:00:00+00:00,1.8243,1.8413,1.785,1.7957,2772110.961593
2020-01-06 00:00:00+00:00,1.7954,1.9386,1.7925,1.9374,6220041.881102
2020-01-07 00:00:00+00:00,1.9373,2.1398,1.8993,2.1033,14001167.440691
2020-01-08 00:00:00+00:00,2.1006,2.3495,2.1006,2.1892,27023850.830352
2020-01-09 00:00:00+00:00,2.1877,2.2344,2.0977,2.1886,11033777.878201
2020-01-10 00:00:00+00:00,2.1867,2.2489,2.1455,2.2257,9348490.029328
2020-01-11 00:00:00+00:00,2.2255,2.345,2.218,2.2734,9937638.524702
2020-01-12 00:00:00+00:00,2.273,2.3212,2.212,2.2383,5654985.971158
2020-01-13 00:00:00+00:00,2.2382,2.2382,2.1561,2.1901,4316436.049985
2020-01-14 00:00:00+00:00,2.1904,2.4701,2.1792,2.3751,16495572.985585
2020-01-15 00:00:00+00:00,2.3751,2.5604,2.3332,2.3953,15725822.570767
2020-01-16 00:00:00+00:00,2.3991,2.51,2.2932,2.4925,11961158.69569
2020-01-17 00:00:00+00:00,2.4924,2.86,2.4589,2.7006,32928477.751669
2020-01-18 00:00:00+00:00,2.7006,2.7946,2.58,2.7709,12187370.41578
2020-01-19 00:00:00+00:00,2.7749,2.8475,2.5385,2.6212,17723998.926728
2020-01-20 00:00:00+00:00,2.6207,2.7443,2.5425,2.688,10966736.422783
2020-01-21 00:00:00+00:00,2.6881,2.744,2.57,2.6716,8677468.397662
2020-01-22 00:00:00+00:00,2.6724,2.6978,2.6187,2.6426,4351550.91377
2020-01-23 00:00:00+00:00,2.6425,2.647,2.4256,2.4698,11989939.300899
2020-01-24 00:00:00+00:00,2.4695,2.533,2.3638,2.5024,10232694.793375
2020-01-25 00:00:00+00:00,2.5024,2.51,2.421,2.4468,4631083.628652
2020-01-26 00:00:00+00:00,2.4425,2.5764,2.4266,2.5764,4876802.332708
2020-01-27 00:00:00+00:00,2.5764,2.6764,2.5656,2.6055,8983048.130743
2020-01-28 00:00:00+00:00,2.6051,2.67,2.5868,2.6558,8190994.708915
2020-01-29 00:00:00+00:00,2.6544,2.8348,2.6316,2.7773,14425009.197172
2020-01-30 00:00:00+00:00,2.7785,2.9482,2.7167,2.9156,16529966.221006
2020-01-31 00:00:00+00:00,2.912,2.9153,2.7628,2.8259,11114615.65424
2020-02-01 00:00:00+00:00,2.8258,2.88,2.7438,2.8378,7681755.743857
2020-02-02 00:00:00+00:00,2.8372,2.8869,2.7314,2.8267,9768511.051874
2020-02-03 00:00:00+00:00,2.8225,2.879,2.7451,2.771,8691569.654548
2020-02-04 00:00:00+00:00,2.7713,2.8038,2.6751,2.7395,12270090.086861
2020-02-05 00:00:00+00:00,2.7397,2.8845,2.7261,2.839,12053160.78155
2020-02-06 00:00:00+00:00,2.836,2.9436,2.79,2.89,12632075.944485
2020-02-07 00:00:00+00:00,2.89,3.3682,2.8882,3.3072,47536114.156012
2020-02-08 00:00:00+00:00,3.3071,3.4865,3.131,3.4171,33442719.414118
2020-02-09 00:00:00+00:00,3.4179,3.4984,3.233,3.4945,20655537.547869
2020-02-10 00:00:00+00:00,3.4927,3.4972,3.2806,3.3862,22873780.17518
2020-02-11 00:00:00+00:00,3.3874,3.9964,3.35,3.9931,43237892.692082
2020-02-12 00:00:00+00:00,3.9937,4.2,3.8472,3.9953,55003441.647905
2020-02-13 00:00:00+00:00,3.993,4.1147,3.7123,3.8765,32416055.398167
2020-02-14 00:00:00+00:00,3.8753,4.487,3.7873,4.426,43468717.183474
2020-02-15 00:00:00+00:00,4.4262,4.621,4.065,4.3241,68514672.461874
2020-02-16 00:00:00+00:00,4.3215,4.8671,4.0384,4.4566,99672983.283162
2020-02-17 00:00:00+00:00,4.4563,4.5522,3.8449,4.3108,80859272.12602
2020-02-18 00:00:00+00:00,4.3059,4.636,4.1416,4.5523,52870430.990999
2020-02-19 00:00:00+00:00,4.5539,4.8355,4.193,4.3873,46417990.67109
2020-02-20 00:00:00+00:00,4.384,4.4865,4.0673,4.2644,48988610.962952
2020-02-21 00:00:00+00:00,4.2666,4.5127,4.184,4.2778,33610465.144214
2020-02-22 00:00:00+00:00,4.2789,4.35,4.0332,4.1066,27976312.645338
2020-02-23 00:00:00+00:00,4.1006,4.3768,4.0693,4.2365,24032570.083964
2020-02-24 00:00:00+00:00,4.2366,4.2871,3.7916,3.9148,34393400.24606
2020-02-25 00:00:00+00:00,3.9179,3.96,3.4864,3.4905,45560015.711433
2020-02-26 00:00:00+00:00,3.4874,3.8587,3.3113,3.5648,79253903.994869
2020-02-27 00:00:00+00:00,3.5648,4.132,3.4197,3.9579,73709388.667313
2020-02-28 00:00:00+00:00,3.9568,4.2395,3.75,4.1609,72869826.761623
2020-02-29 00:00:00+00:00,4.1614,4.3535,4.0572,4.0579,52784929.732009
2020-03-01 00:00:00+00:00,4.06,4.2385,3.7607,3.859,58869388.27488
2020-03-02 00:00:00+00:00,3.8622,4.3435,3.8173,4.2423,52493228.923206
2020-03-03 00:00:00+00:00,4.2421,4.68,4.1249,4.5846,75145836.87199
2020-03-04 00:00:00+00:00,4.5873,4.9762,4.5333,4.6406,88271977.43112
2020-03-05 00:00:00+00:00,4.6388,4.899,4.6239,4.7151,56507767.004489
2020-03-06 00:00:00+00:00,4.7144,4.78,4.5429,4.6814,35594630.161441
2020-03-07 00:00:00+00:00,4.6813,4.6863,4.3143,4.3412,37077348.439829
2020-03-08 00:00:00+00:00,4.3468,4.4646,3.85,4.0537,76704000.260849
2020-03-09 00:00:00+00:00,4.0537,4.369,3.6012,4.1231,117048733.6128
2020-03-10 00:00:00+00:00,4.1237,4.2119,3.9132,4.0839,73423955.1774
2020-03-11 00:00:00+00:00,4.0842,4.11,3.5514,3.8169,74775482.53567
2020-03-12 00:00:00+00:00,3.817,3.8519,0.0001,1.9931,190728042.065768
2020-03-13 00:00:00+00:00,1.999,2.752,1.36,2.4333,158669681.822411
2020-03-14 00:00:00+00:00,2.4328,2.5141,2.0607,2.1379,49665845.0193
2020-03-15 00:00:00+00:00,2.1401,2.4,2.015,2.0884,51979848.940518
2020-03-16 00:00:00+00:00,2.0868,2.0898,1.5571,1.7832,83730824.597792
2020-03-17 00:00:00+00:00,1.7832,2.069,1.73,1.8641,63607268.71138
2020-03-18 00:00:00+00:00,1.866,1.9543,1.762,1.9483,41616263.148234
2020-03-19 00:00:00+00:00,1.9497,2.37,1.8841,2.2398,72131641.874988
2020-03-20 00:00:00+00:00,2.2409,2.6249,2.0143,2.26,92950604.203597
2020-03-21 00:00:00+00:00,2.2631,2.375,2.105,2.2787,43555963.344588
2020-03-22 00:00:00+00:00,2.2754,2.33,1.9334,1.9898,45651954.71691
2020-03-23 00:00:00+00:00,1.9889,2.3,1.9352,2.2468,50113221.86206
2020-03-24 00:00:00+00:00,2.247,2.3709,2.195,2.3104,42125779.988059
2020-03-25 00:00:00+00:00,2.3109,2.35,2.1804,2.257,25603393.547877
2020-03-26 00:00:00+00:00,2.2569,2.3132,2.1884,2.3132,15381812.42816
2020-03-27 00:00:00+00:00,2.3125,2.3599,2.1055,2.1373,18458235.878502
2020-03-28 00:00:00+00:00,2.1372,2.1544,2.0372,2.1364,23165235.569611
2020-03-29 00:00:00+00:00,2.1356,2.152,2.007,2.0083,14309647.633855
2020-03-30 00:00:00+00:00,2.0083,2.2,2.0006,2.135,17962419.164607
2020-03-31 00:00:00+00:00,2.1348,2.302,2.1102,2.2658,18900217.731304
2020-04-01 00:00:00+00:00,2.2657,2.2999,2.14,2.2753,29903847.761825
2020-04-02 00:00:00+00:00,2.2764,2.485,2.2566,2.2941,30798141.032473
2020-04-03 00:00:00+00:00,2.294,2.3837,2.2652,2.3013,19628894.276646
2020-04-04 00:00:00+00:00,2.2995,2.3423,2.2545,2.3155,14060279.534739
2020-04-05 00:00:00+00:00,2.3155,2.3219,2.2437,2.2635,7361336.519118
