auction_date,security_type,security_term,tenor_group
1979-10-31,Note,10-Year,10Y
1979-11-01,Bond,30-Year,30Y
1980-02-07,Bond,30-Year,30Y
1980-02-26,Note,5-Year 2-Month,5Y
1980-03-25,Note,4-Year,5Y
1980-05-07,Note,9-Year 6-Month,10Y
1980-05-08,Bond,30-Year,30Y
1980-06-03,Note,5-Year 2-Month,5Y
1980-06-24,Note,4-Year,5Y
1980-08-06,Note,10-Year,10Y
1980-08-07,Bond,29-Year 3-Month,30Y
1980-08-27,Note,5-Year 2-Month,5Y
1980-09-23,Note,4-Year,5Y
1980-11-06,Note,10-Year,10Y
1980-11-07,Bond,30-Year,30Y
1980-12-03,Note,5-Year 2-Month,5Y
1980-12-18,Note,4-Year,5Y
1981-01-06,Bond,20-Year 1-Month,30Y
1981-02-04,Note,9-Year 9-Month,10Y
1981-02-05,Bond,29-Year 9-Month,30Y
1981-02-26,Note,5-Year 2-Month,5Y
1981-03-24,Note,4-Year,5Y
1981-03-26,Bond,20-Year 1-Month,30Y
1981-05-06,Note,10-Year,10Y
1981-05-07,Bond,30-Year,30Y
1981-05-28,Note,5-Year 5-Month,5Y
1981-06-23,Note,4-Year,5Y
1981-06-25,Bond,20-Year 1-Month,30Y
1981-08-05,Note,10-Year,10Y
1981-08-06,Bond,29-Year 9-Month,30Y
1981-08-27,Note,5-Year 2-Month,5Y
1981-09-23,Note,4-Year,5Y
1981-09-30,Bond,20-Year 1-Month,30Y
1981-11-04,Note,10-Year,10Y
1981-11-05,Bond,30-Year,30Y
1981-11-24,Note,5-Year 2-Month,5Y
1981-12-22,Note,4-Year,5Y
1981-12-30,Bond,20-Year 1-Month,30Y
1982-02-03,Note,10-Year,10Y
1982-02-04,Bond,29-Year 9-Month,30Y
1982-02-24,Note,5-Year 2-Month,5Y
1982-03-24,Note,4-Year,5Y
1982-05-05,Note,10-Year,10Y
1982-05-25,Note,5-Year 2-Month,5Y
1982-06-29,Note,4-Year,5Y
1982-08-04,Note,9-Year 9-Month,10Y
1982-08-31,Note,5-Year 2-Month,5Y
1982-09-21,Note,4-Year,5Y
1982-09-23,Bond,20-Year 1-Month,30Y
1982-11-04,Note,10-Year,10Y
1982-11-09,Bond,30-Year,30Y
1982-11-23,Note,5-Year 2-Month,5Y
1982-12-16,Note,4-Year,5Y
1982-12-22,Bond,20-Year 1-Month,30Y
1983-02-02,Note,10-Year,10Y
1983-02-03,Bond,29-Year 9-Month,30Y
1983-02-23,Note,5-Year 2-Month,5Y
1983-03-22,Note,4-Year,5Y
1983-03-24,Bond,20-Year 1-Month,30Y
1983-05-04,Note,10-Year,10Y
1983-05-05,Bond,29-Year 6-Month,30Y
1983-06-01,Note,5-Year 2-Month,5Y
1983-06-21,Note,4-Year,5Y
1983-06-23,Bond,20-Year 1-Month,30Y
1983-08-03,Note,10-Year,10Y
1983-08-04,Bond,30-Year,30Y
1983-08-31,Note,5-Year 2-Month,5Y
1983-09-20,Note,4-Year,5Y
1983-09-22,Bond,20-Year 1-Month,30Y
1983-11-09,Note,10-Year,10Y
1983-11-10,Bond,29-Year 9-Month,30Y
1983-11-29,Note,5-Year 2-Month,5Y
1983-12-27,Note,4-Year,5Y
1983-12-29,Bond,19-Year 10-Month,30Y
1984-02-08,Note,9-Year 9-Month,10Y
1984-02-09,Bond,29-Year 6-Month,30Y
1984-02-28,Note,5-Year 2-Month,5Y
1984-03-27,Note,4-Year,5Y
1984-03-29,Bond,20-Year 1-Month,30Y
1984-05-09,Note,10-Year,10Y
1984-05-10,Bond,30-Year,30Y
1984-05-31,Note,5-Year 2-Month,5Y
1984-06-26,Note,4-Year,5Y
1984-07-05,Bond,20-Year 1-Month,30Y
1984-08-08,Note,10-Year,10Y
1984-08-09,Bond,30-Year,30Y
1984-08-29,Note,5-Year 2-Month,5Y
1984-10-23,Bond,20-Year 1-Month,30Y
1984-11-07,Note,10-Year,10Y
1984-11-08,Bond,30-Year,30Y
1984-11-28,Note,5-Year 2-Month,5Y
1984-12-26,Note,4-Year,5Y
1985-01-03,Bond,19-Year 10-Month,30Y
1985-02-06,Note,10-Year,10Y
1985-02-07,Bond,30-Year,30Y
1985-02-26,Note,5-Year 2-Month,5Y
1985-03-26,Note,4-Year,5Y
1985-03-28,Bond,20-Year 1-Month,30Y
1985-05-08,Note,10-Year,10Y
